"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2870",23.68,0,0,-2.83063200000005e-08,-0.0164609113666669
"2871",23.69,2.446347e-07,0.00927165513000001,7.03753680000003e-07,0.409252313633335
"2872",23.7,4.355691e-07,0.01650806889,9.47773680000004e-07,0.551156721966669
"2873",23.71,9.54671999999998e-08,0.00361820687999999,6.5494968e-07,0.380871431966667
"2874",23.72,1.909344e-07,0.00723641376000001,7.03753680000003e-07,0.409252313633335
"2875",23.73,1.849677e-07,0.00701027583,7.03753680000003e-07,0.409252313633335
"2876",23.74,0,0,-2.83063200000005e-08,-0.0164609113666669
"2877",23.75,0,0,3.1332168e-07,0.1822052603
"2878",23.76,0,0,3.62125680000003e-07,0.210586141966668
"2879",23.77,0,0,4.59733679999995e-07,0.267347905299997
"2880",23.78,0,0,4.59733679999995e-07,0.267347905299997
"2881",23.79,8.35337999999999e-08,0.00316593102,5.57341680000001e-07,0.324109668633334
"2882",23.8,1.79001000000001e-07,0.00678413790000002,7.03753680000003e-07,0.409252313633335
"2883",23.81,1.909344e-07,0.00723641376000001,7.03753680000003e-07,0.409252313633335
"2884",23.82,0,0,2.04976799999957e-08,0.0119199702999975
"2885",23.83,0,0,-2.83063200000005e-08,-0.0164609113666669
"2886",23.84,0,0,-2.83063200000005e-08,-0.0164609113666669
"2887",23.85,0,0,-2.83063200000005e-08,-0.0164609113666669
"2888",23.86,0,0,-2.83063200000005e-08,-0.0164609113666669
"2889",23.87,0,0,-2.83063200000005e-08,-0.0164609113666669
"2890",23.88,0,0,-2.83063200000005e-08,-0.0164609113666669
"2891",23.89,0,0,-2.83063200000005e-08,-0.0164609113666669
"2892",23.9,0,0,-2.83063200000005e-08,-0.0164609113666669
"2893",23.91,0,0,-2.83063200000005e-08,-0.0164609113666669
"2894",23.92,0,0,-2.83063200000005e-08,-0.0164609113666669
"2895",23.93,0,0,-2.83063200000005e-08,-0.0164609113666669
"2896",23.94,0,0,-2.83063200000005e-08,-0.0164609113666669
"2897",23.95,0,0,-2.83063200000005e-08,-0.0164609113666669
"2898",23.96,0,0,-2.83063200000005e-08,-0.0164609113666669
"2899",23.97,0,0,-2.83063200000005e-08,-0.0164609113666669
"2900",23.98,0,0,-2.83063200000005e-08,-0.0164609113666669
"2901",23.99,0,0,-2.83063200000005e-08,-0.0164609113666669
"2902",24,0,0,-2.83063200000005e-08,-0.0164609113666669
"2903",24.01,0,0,-2.83063200000005e-08,-0.0164609113666669
"2904",24.02,0,0,-2.83063200000005e-08,-0.0164609113666669
"2905",24.03,0,0,-2.83063200000005e-08,-0.0164609113666669
"2906",24.04,0,0,-2.83063200000005e-08,-0.0164609113666669
"2907",24.05,0,0,-2.83063200000005e-08,-0.0164609113666669
"2908",24.06,0,0,-2.83063200000005e-08,-0.0164609113666669
"2909",24.07,0,0,-2.83063200000005e-08,-0.0164609113666669
"2910",24.08,0,0,-2.83063200000005e-08,-0.0164609113666669
"2911",24.09,0,0,-2.83063200000005e-08,-0.0164609113666669
"2912",24.1,0,0,-2.83063200000005e-08,-0.0164609113666669
"2913",24.11,0,0,-2.83063200000005e-08,-0.0164609113666669
"2914",24.12,0,0,-2.83063200000005e-08,-0.0164609113666669
"2915",24.13,0,0,-2.83063200000005e-08,-0.0164609113666669
"2916",24.14,0,0,-2.83063200000005e-08,-0.0164609113666669
"2917",24.15,0,0,-2.83063200000005e-08,-0.0164609113666669
"2918",24.16,0,0,-2.83063200000005e-08,-0.0164609113666669
"2919",24.17,0,0,-2.83063200000005e-08,-0.0164609113666669
"2920",24.18,0,0,-2.83063200000005e-08,-0.0164609113666669
"2921",24.19,0,0,-2.83063200000005e-08,-0.0164609113666669
"2922",24.2,0,0,-2.83063200000005e-08,-0.0164609113666669
"2923",24.21,0,0,-2.83063200000005e-08,-0.0164609113666669
"2924",24.22,0,0,-2.83063200000005e-08,-0.0164609113666669
"2925",24.23,0,0,-2.83063200000005e-08,-0.0164609113666669
"2926",24.24,4.057356e-07,0.01537737924,8.98969679999994e-07,0.522775840299997
"2927",24.25,5.96669999999951e-09,0.000226137929999981,5.08537679999998e-07,0.295728786966665
"2928",24.26,1.61100899999999e-07,0.00610572410999998,7.03753680000003e-07,0.409252313633335
"2929",24.27,1.670676e-07,0.00633186203999999,7.03753680000003e-07,0.409252313633335
"2930",24.28,0,0,-2.83063200000005e-08,-0.0164609113666669
"2931",24.29,0,0,-2.83063200000005e-08,-0.0164609113666669
"2932",24.3,0,0,-2.83063200000005e-08,-0.0164609113666669
"2933",24.31,0,0,3.62125680000003e-07,0.210586141966668
"2934",24.32,0,0,3.62125680000003e-07,0.210586141966668
"2935",24.33,0,0,3.1332168e-07,0.1822052603
"2936",24.34,0,0,5.08537679999998e-07,0.295728786966665
"2937",24.35,0,0,4.59733679999995e-07,0.267347905299997
"2938",24.36,0,0,4.10929679999999e-07,0.238967023633333
"2939",24.37,1.670676e-07,0.00633186203999999,7.03753680000003e-07,0.409252313633335
"2940",24.38,1.730343e-07,0.00655799997000001,7.03753680000003e-07,0.409252313633335
"2941",24.39,2.38668000000006e-08,0.000904551720000021,5.57341680000001e-07,0.324109668633334
"2942",24.4,0,0,-2.83063200000005e-08,-0.0164609113666669
"2943",24.41,0,0,-2.83063200000005e-08,-0.0164609113666669
"2944",24.42,0,0,-2.83063200000005e-08,-0.0164609113666669
"2945",24.43,0,0,-2.83063200000005e-08,-0.0164609113666669
"2946",24.44,0,0,-2.83063200000005e-08,-0.0164609113666669
"2947",24.45,0,0,-2.83063200000005e-08,-0.0164609113666669
"2948",24.46,0,0,-2.83063200000005e-08,-0.0164609113666669
"2949",24.47,0,0,-2.83063200000005e-08,-0.0164609113666669
"2950",24.48,0,0,-2.83063200000005e-08,-0.0164609113666669
"2951",24.49,0,0,-2.83063200000005e-08,-0.0164609113666669
